word,label
dia,1
diabetes,1
diad,1
diadem,1
diafon,1
diaforetik,1
diafragma,1
diagenesis,1
diagnosis,1
diagnostik,1
diagometer,1
diagonal,1
diagram,1
diaken,1
diakon,1
diakones,1
diakonia,1
diakritik,1
diakronis,1
dialek,1
dialektal,1
dialektik,1
dialektika,1
dialektis,1
dialektologi,1
dialinguistik,1
dialisis,1
dialog,1
dialogis,1
diam,1
diamagnetisme,1
diameter,1
diametral,1
diamorf,1
dian,1
diang,1
diaper,1
diapositif,1
diar,1
diare,1
dias,1
diasistem,1
diaspora,1
diastase,1
diastole,1
diat,1
diaterman,1
diatermi,1
diatermik,1
diatesis,1
diatipe,1
diatom,1
diatomit,1
diatonik,1
diatopik,1
diayah,1
dibasa,1
didaktik,1
didaktikus,1
didaktis,1
didih,1
didik,1
didis,1
didong,1
dielektrik,1
diensefalon,1
dies,1
diesel,1
diet,1
dietetika,1
difabel,1
diferensial,1
diferensiasi,1
difluens,1
difluensi,1
difraksi,1
difteri,1
diftong,1
difusi,1
digdaya,1
digenesis,1
digestif,1
digit,1
digital,1
digitalin,1
digitalis,1
digitalisasi,1
diglosia,1
digraf,1
digresi,1
digul,1
dihedral,1
dihidroksil,1
dik,1
dikara,1
dikau,1
dikit,1
diklorida,1
dikotil,1
dikotomi,1
dikroisme,1
dikromat,1
dikromatik,1
diksa,1
diksi,1
diktat,1
diktator,1
diktatorial,1
diktatoris,1
dikte,1
diktum,1
dil,1
dila,1
dilak,1
dilam,1
dilasi,1
dilatasi,1
dilatometer,1
dilema,1
dilematik,1
diler,1
diletan,1
diluvium,1
dim,1
dimensi,1
dimer,1
diminutif,1
dimorfik,1
dimorfisme,1
din,1
dina,1
dinamik,1
dinamika,1
dinamis,1
dinamisator,1
dinamisme,1
dinamit,1
dinamo,1
dinamometer,1
dinar,1
dinas,1
dinasti,1
dinding,1
dingin,1
dingkis,1
dingkit,1
dingklang,1
dingklik,1
dingo,1
dini,1
diniah,1
diniyah,1
dinosaurus,1
dinul-islam,1
diode,1
dioesis,1
dioksida,1
dioksin,1
diopsida,1
dioptase,1
dioptri,1
diorama,1
diorit,1
dioses,1
dipan,1
diplo,1
diploid,1
diploma,1
diplomasi,1
diplomat,1
diplomatik,1
diplomatis,1
dipsomania,1
diptera,1
diptotos,1
dirah,1
diraja,1
direk,1
direksi,1
direktorat,1
direktorium,1
direktris,1
direktur,1
dirgahayu,1
dirgantara,1
dirham,1
diri,1
dirigen,1
diris,1
dirus,1
disagio,1
disain,1
disainer,1
disakarida,1
disastria,1
disbursemen,1
disdrometer,1
disekuilibrium,1
disel,1
disensus,1
disentri,1
disertasi,1
disfonia,1
disfungsi,1
disharmoni,1
disiden,1
disilabik,1
disimilasi,1
disinfektan,1
disinformasi,1
disinsentif,1
disintegrasi,1
disiplin,1
disjoki,1
disjungsi,1
disjungtif,1
diska,1
disket,1
diskiasis,1
disklimaks,1
disko,1
diskoid,1
diskon,1
diskontinu,1
diskontinuitas,1
diskonto,1
diskordans,1
diskorobik,1
diskotek,1
diskredit,1
diskrepansi,1
diskresi,1
diskriminasi,1
diskriminatif,1
diskriminator,1
diskualifikasi,1
diskulpasi,1
diskursif,1
diskus,1
diskusi,1
dislalia,1
disleksia,1
dislokasi,1
dismembrasio,1
dismenorea,1
dismutasi,1
disolventia,1
disonansi,1
disoperasi,1
disorder,1
disorganisasi,1
disorientasi,1
disosiasi,1
dispareunia,1
disparitas,1
dispensasi,1
dispenser,1
dispepsia,1
dispersal,1
dispersi,1
disposisi,1
disposotio,1
disprosium,1
disrupsi,1
distabilitas,1
distal,1
distansi,1
distikiasis,1
distikon,1
distilasi,1
distilator,1
distingsi,1
distingtif,1
distoma,1
distorsi,1
distosia,1
distribusi,1
distributor,1
distrik,1
disuasi,1
disuria,1
ditlantas,1
dirlantas,1
dirinya,1
dito,1
ditransitif,1
diuresis,1
diuretik,1
diurnal,1
divergen,1
divergensi,1
diversifikasi,1
diversitas,1
divestasi,1
dividen,1
divisi,1
diwala,1
dimas,1
dirjen,1